date,value
1919-01-01,295.000
1919-01-31,286.157
1919-03-02,300.330
1919-04-01,278.459
1919-05-01,272.599
1919-05-31,268.738
1919-06-30,309.018
1919-07-30,322.238
1919-08-29,314.380
1919-09-28,309.528
1919-10-28,292.604
1919-11-27,297.795
1919-12-27,295.945
1920-01-26,274.957
1920-02-25,302.317
1920-03-26,273.243
1920-04-25,284.490
1920-05-25,287.675
1920-06-24,321.161
1920-07-24,326.389
1920-08-23,316.458
1920-09-22,314.609
1920-10-22,294.538
1920-11-21,296.725
1920-12-21,300.941
1921-01-20,276.774
1921-02-19,298.228
1921-03-21,262.869
1921-04-20,280.276
1921-05-20,298.719
1921-06-19,321.248
1921-07-19,330.579
1921-08-18,320.583
1921-09-17,317.704
1921-10-17,297.501
1921-11-16,306.839
1921-12-16,310.067
1922-01-15,287.785
1922-02-14,319.596
1922-03-16,302.403
1922-04-15,319.946
1922-05-15,313.985
1922-06-14,335.646
1922-07-14,341.973
1922-08-13,337.038
1922-09-12,337.223
1922-10-12,311.769
1922-11-11,320.148
1922-12-11,320.323
1923-01-10,308.172
1923-02-09,325.813
1923-03-11,300.282
1923-04-10,308.678
1923-05-10,320.171
1923-06-09,355.367
1923-07-09,360.715
1923-08-08,354.725
1923-09-07,346.665
1923-10-07,325.176
1923-11-06,333.617
1923-12-06,332.765
1924-01-05,306.063
1924-02-04,325.887
1924-03-05,297.082
1924-04-04,317.958
1924-05-04,332.639
1924-06-03,367.036
1924-07-03,369.311
1924-08-02,361.209
1924-09-01,346.867
1924-10-01,332.509
1924-10-31,353.483
1924-11-30,345.354
1924-12-30,314.319
1925-01-29,337.400
1925-02-28,317.788
1925-03-30,331.514
1925-04-29,343.168
1925-05-29,374.664
1925-06-28,379.045
1925-07-28,375.073
1925-08-27,367.960
1925-09-26,350.380
1925-10-26,357.896
1925-11-25,344.479
1925-12-25,320.572
1926-01-24,347.999
1926-02-23,324.067
1926-03-25,342.082
1926-04-24,341.219
1926-05-24,371.868
1926-06-23,385.734
1926-07-23,380.686
1926-08-22,372.476
1926-09-21,354.782
1926-10-21,363.401
1926-11-20,357.276
1926-12-20,342.707
1927-01-19,363.995
1927-02-18,326.190
1927-03-20,332.705
1927-04-19,352.964
1927-05-19,391.221
1927-06-18,405.187
1927-07-18,396.939
1927-08-17,391.859
1927-09-16,364.521
1927-10-16,376.382
